paragraphs,reference_summary
"Sasampunipun ngandika makatên, Kesawa lajêng anilar Sang Bisma, amargi surya wiwit sêrap, ing gêgana kapiyarsa swaraning găngsa angrangin, sarta jawah sêkar, sinartan ron ingkang gandanipun arum, mila ing nalika wau Têgal Kuru kalimputan ing gănda arum angambar.;","Bisma seda, para Pandhawa lan Naradha padha teka, ngerti piwulang dharma."
"Enjingipun para Pandhawa kalayan Kesawa wangsul dhatêng ing dunungipun Sang Bisma, para narendra sisaning prang, sarta para rêsi kairit dening Naradha ugi sami dhatêng. Minăngka wangsulan dhatêng pitakènipun Sri Krêsna ingkang kalayan têmbung arum, Sang Bisma ngaturakên panuwun, dene ingkang amargi saking sih parmanipun Guwinda, sariranipun lajêng botên karaos sakit, punapadene saliring kawruh sami angêbyuki ing batosipun, ananging punapa darunanipun, panjênênganipun ingkang paring sadaya wau botên kaparêng amêdharakên piyambak, kadosdene guru ingkang amarah siswanipun. Sri Krêsna mangsuli nanging botên sarana têmbung, amung sarana raosing panggalih, ngandika manawi tumrap sariranipun sampun botên wontên ingkang sayogi kangge amimbuhi suwuripun, amargi panjênênganipun punika kamulan saha wêkasanipun sadaya dumados, karsanipun supados misuwuring baktanipun sagêd sumêbar sajagad, sarta kuncaraning sugêngipun wau botên sagêd sirna, sadangunipun jagad punika taksih wontên. Pamulangipun Bisma bab tataning darma, kados bapa ingkang mulang sutanipun, amargi Sang Bisma botên nate anilar darmanipun, mila inggih amung sariranipun ingkang pantês amêdharakên piwulang darma. Pangandikanipun Bisma: kula badhe nyariyosakên darma, ucap kula punapa cipta kula sampun sami santosa, awit saking barkah paduka, dhuh Guwinda, paduka jiwanipun sadaya dumados. Bisma andangu dhatêng Yudhisthira punapa ingkang dipun kajêngakên, amargi Yudhisthira kagalih sampun sayogi dados siswa. Yudhisthira lantip, sagêd mangrèh pribadinipun, sukci, agung paramartanipun, adil, santosa tuwin sêrêng ing pangudi, dados pantês katampi dados siswa, amargi siswa kêdah mirib kalihan gurunipun, bilih botên makatên, piwulanging guru punika tanpa guna. Manawi siswa botên santosa kasusilanipun, kadospundi sagêdipun piwulang luhur wau kawêdhar kalayan prayogi. Ananging Sri Krêsna ngandika manawi Yudhisthira ajrih nyêlak, amargi rumaos dosa, anyirnakakên lêluhuripun.;",Yudhisthira nampa piwulang dharma kanggo nindakake adil lan luhur.
"Sang Bisma ingkang luhur ing budi, adil saha bakti ing kawajiban, lajêng ngandika sarwi mèsêm, manawi wajibing satriya, kêdah prang sanadyan amêngsah gurunipun, manawi wontên lampah ingkang botên lêrês. Sanalika wau kalayan kaèbêkan raos ngêrês Yudhisthira angurêbi pada, Bisma lajêng ambagèkakên, Yudhisthira kadhawuhan linggih ingkang sakeca. Pangandikanipun: dhuh pêpêthinganing băngsa Kuru, aja wêdi, takona aja sira sumêlang. ;",Bisma ngendika yen satriya kudu siap perang tanpa wêdi lan tetep nindakaké dharma.
"Yudhisthira kapengin mirêngakên darmaning narendra, ing ngriku Bisma lajêng anggêlar kawajibaning ratu ngantos dangu sangêt. Miturut têtuladan kina, wajibing narendra, kêdah dados panglanturing karsanipun Pangeran dhatêng dunya. Ingkang rumiyin piyambak ratu kêdah tumêmên panêmbahipun dhatêng para dewa tuwin brahmana, sarta kêdah ngrampungakên samukawis ingkang dados jêjibahanipun, saha kêdah santosa kêkêncênganipun. Kalanipun wontên pakèwêd, kêdah dipun tikêlana karosanipun, makatên wau wajibing narendra salami-laminipun. Narendra kêdah luhur, jêjêg, tuwin sih, sarta angurmati dhatêng para pinisêpuh kalayan bakti. Pamanggèning tiyang ing salêbêting nagari wêwêngkonipun, dikados anak jalêr ing griyaning bapakipun, têtela  ratu sajatos, manawi para kawulanipun sami têtêp dhatêng darmanipun piyambak-piyambak, ngantos botên angraosi pêjah. Manawi sampun dados jêjibahanipun, sami purun angayomi kalèrèhanipun, atut arukun, miturut, botên nate pasulayan, saha lampah awon. Satriya ingkang makatên lampahipun, punika mardika saking latuning naraka. Yudhisthira matur: ananging punapa wigatosipun, dene ratu kêdah amung satunggal? Dhawuhipun Bisma, ing nguni ora ana narendra, sabên wong padha ayom-ingayoman, ananging barêng wong wiwit gêdhe pêpenginane, ing kono banjur prêlu ana ratu kang ngayomi. Dewa anuli anitahake manungsa kang salingga bathara, dinadèkake ratu, têmbe ana pirang-pirang wong kang gêdhe lêlabuhane, linairake marang dunya manèh prêlu kanggo ratu, dene wong-wong padha dhêmên miturut marang salah siji kang linuwih kautamane mau. Mulane banjur ana unèn-unèn: ratu iku ora beda lan dewa. ;",Bisma nerangaké yen raja kudu nglindhungi rakyat lan ngajèni dewa lan brahmana.
"Sarêng Bisma sampun anêrangakên kawontênaning sêkawan golongan, sarta lampahing gêsang catur warni, panjênênganipun andhawuhakên, manawi sadaya wau, wit sarta pamanggènipun wontên  darmaning narendra, sarta narendra ingkang dados pandam pangayomanipun. ;",Tugas raja yaiku nglindhungi rakyat lan nindakaké dharma.
"Anarsi,  punika lêlampahan ingkang asor piyambak, sampun ngantos tiyang ingkang dêdunung wontên wêwêngkoning nata lajêng risak dening anarsi wau.;",Anarsi ngrusak masyarakat.
"Manawi tiyang kathah sami nandhang sangsara, saking panindhêsipun tiyang ingkang rosa-rosa, lajêng sami mêmujia sagêdipun katurunan satunggaling nata utawi manu, ingkang lajêng kawajiban anata, sarta lumawan sawarnining tindak ingkang kirang prayogi.  sasampunipun Sang Bisma angandharakên darmaning narendra, taksih nyariyosakên sakêdhap bab wênang mokalipun.  Sang Bisma lajêng dhawuh: bilih narendra punika ingkang nanggêl sagung piawon tuwin kasangsaran ing dalêm kaprabonipun, ingkang witipun saking ratu botên anêtêpi wajibipun, utawi botên sagêd mangrèh dhatêng para kawula. Ing nguni wontên narendra kacêpêng dening satunggaling raksasa, ratu wau sagah badhe miturut sakajêngipun, nanging prajanji manawi nagarinipun sampun ngantos wontên pandung, sampun wontên tiyang awon, sampun wontên tiyang ngunjuk awis  sampun ngantos tiyang botên gadhah agami, sarta sawarnining golongan sami anêtêpana darmanipun piyambak-piyambak. Kêdah amitulungi kabêtahan, amupu tiyang sêpuh, tiyang ringkih, tiyang sakit, sarta pawèstri ingkang botên gadhah anak semah, kêdah prang kangge prêluning tiyang ing prajanipun, adil saha amulyakakên. Raksasa wau kadospundi wangsulanipun, lajêng angêculakên sang prabu. ;",Raja kudu nglindhungi rakyat saka sêngsara lan njaga keadilan.
"Sarêng sampun anggêlar lampah-lampahipun amaluya karisakan,  Sang Bisma andhawuhakên pêpèngêt, pundi bêbayanipun manawi wontên tiyang ingkang tanpa karosan ngantos katindhês: Hyang Widi amangun pangwasa, awujud dumadèkake narendra, kanggo pangayomane para kang padha ringkih.;",Raja kudu nglindhungi rakyat sing ringkih.
"Pandulune wong kang ringkih, para muni, utawa ula kang panêmbure amisani, iku kudu kaanggêp ora kêna linawan, mulane aja kongsi mêmungsuhan lan wong kang ora darbe karosan, wong kang ora darbe karosan kudu sira anggêp wong kang tansah nalăngsa, diprayitna aja kongsi maripating wong mau ambrastha ing sira lan darbèkira. Wijining băngsa kang kobar dening netraning wong ringkih, băngsa mau banjur curês. Pandulune wong mangkono bisa ambrastha băngsa nganti ora ana  kang kèri. Mula aja pisan-pisan mêmungsuhan lan wong kang ringkih, wong ringkih iku luwih gêdhe saka pangwasane wong kang rosa-rosa. Êndi kang trinajang dening wong-wong kang ringkih masthi yèn tumpês tapis. Yèn wong wus takluk sarta kalah, jaluk tulung măngka ora olèh pangayoman, ratune bakal kaukum sarta kalungsur dening dewa.;",Bisma ngelingaké supaya ora nglawan wong ringkih.
"Dhuh prabu, aja angimpun kasugihan kang saka amadalake wong kang ringkih-ringkih, diprayitna, murih sira aja kongsi kobar dening netraning wong ringkih, kang murub mangalad-alad kaya andadine alas kabêsmi. Luh kang wutah marga wong pinatèn anak lan rajakayane saka panggawe kang ora adil, kayadene wong ringkih ora ana kang mitulungi, paukumaning dewa banjur anibani ratu. ;","Raja ora kena nyiksa wong ringkih, amarga akibat saka déwa."
"Sang Bisma lajêng andhawuhakên kadospundi darmaning prajurit, manawi nglampahi prang sampun ngantos kanthi kanêpson utawi sampun ngantos ngorong dhatêng rah. Anggènipun ngangkah mênang sampun ngantos sarana lampah kanisthan, sarta sampun amrawasa mêngsah manawi pinuju kèndêl anggènipun prang. Tiyang tatu kêdah dipun antukakên, utawi dipun upakara, nadyan mêngsah ingkang awon lampahipun kêdah katêlukakên dening kautamèn.;",Prajurit kudu perang kanthi cara sing bener.
"Langkung prayogi sirna gêsangipun, tinimbang angsal kamênangan ingkang sarana tindak kang nistha, makatên lampah darmaning satriya, sanadyan ing paprangan punika ugi piwulang ingkang migunani. ;",Luwih becik mati tinimbang menang kanthi cara sing ala.
"Sanadyan bab kasapisan saking piwulang luhur wau sampun nyariyosakên darmaning narendra miwah para prajurit, ing ngriku ugi kathah piwulangipun ingkang migunani tumrap sadhengah. Kados ta: nalika Sang Bisma amulang kawajibaning narendra kêdah adil sarta santosa, Bisma ugi pratela, manawi kasantosan punika angungkuli sadhengah, awit takdiring tiyang punika kadadosaning pandamêlipun tiyang ing gêsang ingkang sampun kapêngkêr. ;",Bisma ngêndika manawa pemimpin lan prajurit kudu adil amarga takdir gumantung dharma lan karma.
"Ing jaman samangke asring kamirêngan tiyang mungêl, kasantosan punika tanpa damêl, amargi sadaya punika sampun katata dening karma. Sang Bisma botên nate kaplèsèt anglampahi kalêpatan kados makatên mau, karantên Sang Bisma priksa dhatêng pakartining karma, utawi botên kasamaran dhatêng dayaning kasantosan. Karma ingkang kula ênèni samangke, punika wohing pangangkah ingkang sampun kapêngkêr, mila pangangkahipun tiyang ing gêsang samangke punika sagêd angewahi karma wau. Tiyang sampun ngantos kadosdene golèk mêrang ing dalêm lampahing karma, ananging tiyang punika dumados saking Pangeran, panguwasaning cipta, pangraos, pêpenginan, tuwin dêrênging manahipun tiyang, punika ugi karmaning manungsa. Ananging ugi tiyang piyambak ingkang andumadosakên punika wau, mila sampun saèstu kasantosaning manah punika agêng dayanipun, kawawa angewahi ingkang awangun ing gêsang ingkang sampun kapêngkêr. Pramila ratu kêdah amangun kasantosaning panggalih.; ","Kasantosan ora mêsthi adhedhasar usaha, amarga karma sing ngatur kabeh."
"Ing ngandhap punika pakangsal tumrap sadhengah.Tiyang punika kêdah santosa, saha kawawa anandhang sadhengah, kawruh saha kagunan ing jaman samangke ngangkah badhe dipun gampilakên, sapanêdhanipun badan dipun pituruti kemawon, sarta giris sangêt manawi ngantos kêkirangan.;",Tiyang kudu ati-ati ing ngambah kawruh lan kagunan supaya ora kekurangan.
"Sinaua dhatêng kasantosan, sanadyan botên gampil dipun lampahi, sampun ngantos takluk dening badan, badan andika dipun rèha, kuwawia nandhang kêkirangan, badan punika rencang tumbasanipun manungsa, dados sanès Gusti. Gêsang jaman samangke kathah badan ingkang kirang santosa, kirangipun santosa wau adamêl saya lêsunipun. Suwawi anulada ratu ingkang kacêpêng dening satunggaling raksasa.  ratu wau botên ajrih, amargi panjênênganipun sampun anêtêpi kawajibanipun. Ingkang anêtêpi kawajibanipun, punika botên prêlu ajrih dhatêng punapa kemawon, kalampahanipun tiyang kadhatêngan pakèwêd, punika manawi supe dhatêng kawajibanipun, utawi nglirwakakên wajib. Tiyang botên sagêd kataton dening samukawis, botên wontên pangwasa ingkang sagêd adamêl kawonipun tiyang, sadangunipun tiyang taksih anêtêpi darmanipun. Tiyang rumaos kawarăngka tuwin kawêngku, amargi tiyang priksa dhatêng kalintuning cipta tuwin tindakipun, sarta angêngakakên kontên kangge lêbêting mêngsahipun, măngka tiyang ajrih tinêmpuh. Kainêbna kontênipun, supados sampun kalêbêtan satru.;",Kasantosan kudu dilakoni kanthi kawruh lan wicaksana supaya ora kalah.
"Sang Bisma ngakêni luhuring anggènipun dados guru, karantên sangking titining pamawasipun dhatêng wujud kalihan gêsang, pangandikanipun: ing layang Wedha wêwarah, yèn mangrèh pribadine iku angungkuli sêsaji, ing mêngko ingsun nêdya nyaritakake bab sêsaji kang ora katarik dening sadhengah, dhuh narendra kang wicaksana, katilingna wêdharing pituduhingsun, amambênga saliring panggawe ala, lire dilêgawa, lan, wêlas asiha, iku kaanggêp sêsaji gêdhe dening para wicaksana, dudu kang anglêlêsu badan. ;",Bisma ngêndika sêsaji luwih dhuwur tinimbang awak lan kudu ngupadi dharma kanthi ikhlas.
"Piwulang punika katingal condhong kalihan lêlampahanipun  Prabu Janaka kalihan Sulamba, pandhita èstri. Sang Prabu ngandika, manawi tiyang mangangge abrit, gundhul, ngangge têkên palunton tiga,  tuwin mandhula, punika panitikan lair ingkang nêdahakên kadospundi gêsangipun tiyang wau, punika botên wontên ajinipun tumrap panggayuh dhatêng kamursidan kang luhur. Kula gêsang wontên ing nagari ingkang mardika, sanadyan kalairan kula kawêngku ing agami, kasugihan, tuwin kasênêngan, ingkang awujud kaprabon miwah pawèstri, ingkang limrah dados bêbandaning tiyang. Tangsul ingkang sangking kaprabon miwah kasugihan kula, sarta talining karêm kula wau sampun kula pagas dening pêdhanging pamambêng,  tiyang sagêd sinau amambêng, sarana lair tuwin batos, nanging pamambêng ing dalem batos punika langkung rêkaos. Tiyang botên dados yogi amung sarana pangangge ingkang katingalan, ananging amung sangking jêjêging suksma tuwin pêdhoting tali pêpenginan. Tiyang sagêd dados yogi kalayan pangangge kados punapa kemawon, sarta botên kêdah ngangge panganggening pandhita. Nadyan wontên satêngahing sadhengah tiyang ugi sagêt botên kasêngsêm. Sanadyan gêsangipun mulya, tiyang sagêd botên kabănda dening kamulyan.;","Janaka ngandhakake dharma ora gumantung penampilan, nanging saka laku budi."
"  Nadyan linimputan ing kasugihan, tiyang sagêd botên karaos: iku darbèkingsun. Amung sujanma makatên wau ingkang kaluhurakên dening dewa, tuwin para wicaksana, ingkang batosipun yogi, punika sajatining Sanyasi. Lare-lare tuwin para nèm-nèman, ingkang sampun katêtangi manahipun dhatêng kasuksman, adhakanipun dêrêngipun punika sêmu murka. Anilar praja dhatêng ing wana, pados sagêt nyèlèhakên awrating kawajiban dunya, wontên ing papan kang sêpi, lairipun gêsang cara ambangun tapa, ingkang kathah botên kasêmbadan panggayuhipun, amargi sanès darmanipun. Ambangun tapa kenging linampahan wontên ing praja, sanadyan marginipun botên gampil. Gêsang wontên ing praja, nanging botên maèlu dhatêng pamilutanipun, lairipun tiyang limrah, nanging batosipun pandhita, makatên wau pangajapan kita ing jaman punika. Wontênipun ing ngriki botên wontên guru ingkang luhuripun langkung sangking Sang Bisma, amargi wujudipun wau nayaka tuwin prajurit, nanging batosipun yogi, botên kalindhih dening kamurkan, wiwit miyos ngantos dumugining muksanipun, tindakipun botên nate nalisir sangking kautamèn.;","Kasugihan ora mesthi ngarahake kasuksesan, dharma sing ngarahake kaurmatan sejati."
"Ing nalika Sang Bisma amêdharakên darmaning tiyang, lajêng nyariyosakên darmaning tiyang kathah. Suwau Sang Bisma mêdharakên satunggaling  darma, ingkang tumrapipun jaman gagrag enggal tiyang kathah sampun botên priksa. Angurmati dhatêng bapa, biyung tuwin guru, punika wontên pamanah kula langkung prêlu. Bilih punika sampun botên dipun manah, sampun botên wontên ingkang prayogi dipun lampahi. Panêmbah, angaji-aji, andhap asor, nalăngsa, punika sadaya dipun anggea dhasaring pambêkan. Satunggaling bapa punika langkung aji tinimbang sadasa upajayas, dene biyung satunggal angungkuli bapa sadasa, utawi bokmanawi langkung aji tinimbang jagad saisinipun. Botên wontên tiyang ingkang pantês nampèni bêkti kados biyung, nanging sangking pamanggih kula, guru punika kêdah kinurmatan sanginggiling bapa, malah sanginggiling biyung. Bapa biyung dados lantaraning anggèn kula maujud, nanging gêsang ing kaswargan, punika nugraha pêparinging guru, gêsang ing kaswargan punika tanpa sangsara saha tan kênaning pêjah. Ing Hindhu gagrag sapunika anggènipun angaosi dhatêng para sêpuh langkung saking nagari sanès-sanèsipun, sanadyan ing antawisipun kita ugi sampun katularan pamanggih kilenan ingkang botên lêrês: mardika. Ananging sih dhatêng tiyang sêpuh utawi tangsul sukci ingkang anggandhèng guru kalihan siswa sampun mèh botên wontên, kalêpatan wau kados sampun limrah tiyang sami makatên.;","Bisma ngajari manawa dharma ora gumantung pangkat, nanging saka pribadi lan kawajiban."
" Mitunaning guru dhatêng kawajiban kalih warni tumrap siswanipun, kados ta: sih tuwin anênuntun, punika ingkang adamêl pun siswa lajêng botên anêtêpi kawajibanipun angaji-aji tuwin sêtya. Guru salawas-lawase kudu sih bangêt marang siswane, makatên pangandikanipun Sang Bisma bab kawontênaning lêlampahan ingkang dipun lampahi, mila siswa kêdah ngatingalakên panglinggamurda ingkang samêsthinipun dhatêng ing guru. Ananging ing jaman samangke sampun botên wontên guru ingkang têmên-têmên anêtêpi darmanipun, punika kados suka têtuladan ing siswanipun sagêd anêtêpi darmanipun, têtanggêlanipun kang agêng punika wontên ingkang sêpuh, măngka sêmunipun sampun awis sangêt guru ingkang nênuntun sayêktos, awisipun sami kalihan siswa sayêktos. ;",Guru kudu ngajari kanthi tulus supaya siswa bisa nindakake dharma kanthi bener.
"Satêlasing pamulangipun, guru dibya wau lajêng amangsuli pintên-pintên pitakenanipun Yudhisthira, nanging ingkang kula pêthik wontên ing ngriki amung kalih warni. Prabu anèm nyuwun katrangan bab lampah-lampahing darma. Wangsulanipun Sang Bisma, mênggahing darma punika botên gampil dipun têrangakên sadaya, pramila lajêng kacariyosakên sawatawis, supados tiyang mangêrtos dhatêng pêperanganipun piwulang wau. Mila wêdharing piwulang darma punika kangge angajêngakên saha adamêl tuwuhipun sadaya dumados, dados ingkang anuntun ajêngipun saha tuwuhipun sadaya punika darma. Darma kawarahakên kangge matêsi kawontênaning dumados, angwontênakên watêsipun satunggal kalihan sanèsipun, pramila ugi darma ingkang angwontênakên watêsan, kangge amatêsi dumados. Anggènipun darma winastan makatên, karantên darma dados pikukuhipun sadaya dumados. Têtelanipun sadaya dumados punika tinuwak dening darma, inggih darma ingkang kawawa adamêl santosanipun sadaya dumados. ;","Bisma nêrangake dharma ora gampang dipahami, nanging kudu dilakoni kanggo nggayuh kauripan sing bener."
"Kadospundi tiyang sagêdipun unggul kalihan pakèwêd. Sintêna ingkang botên nate anglampahi cidra, tiyang ingkang watakipun sinimpên wontên ing dalêm wêwêngkoning karahayon, tuwin sintên kemawon ingkang amambêng pêpenginanipun dhatêng kadunyan, tamtu kalampahan sagêd mênang kalayan sawarnining pakèwêd. Tiyang ingkang botên animbangi, manawi kapandukan ing têmbung pangerang-erang, tuwin panyamah, tiyang ingkang botên purun anyêrikakên manahipun tiyang, manawi piyambakipun kasêrikakên manahipun, tuwin tiyang ingkang wèwèh, botên purun jêjaluk, inggih punika sujanma wau ingkang mênang kalihan  sagung pakèwêd. Tiyang ingkang cipta, pandamêl tuwin wicaranipun botên dosa, tiyang ingkang botên damêl piawon dhatêng salah satunggaling dumados, inggih punika ingkang botên kaêndhih dening sakathahing pakèwêd. Sintên tiyangipun ingkang têmên wicaranipun ing dunya ngriki, nadyan wontên ing dalêm kasukan, sarta nêdya anuladhani sadaya dumados, tamtu sagêd mênang kalihan sadaya pakèwêd. Sintêna ingkang botên nate anglampahi cidra, sarta wicantênipun anyênêngakên, saha lêrês anggènipun matrapakên kasugihan, tamtu unggul kalihan sadaya pakèwêd. Sintên kemawon ingkang angluhurakên para dewa, sarta purun mirêngakên piwulangipun satunggal-tunggaling agami, ingkang sêtya tuhu tuwin anglampahi kalayan jênjêming manah, saèstu kalampahan angêndhih saliring pakèwêd. ;","Tiyang becik lakunipun saged unggul lan nglampahi urip tenang, ngluhuraken kasugihan kanthi luhuring jiwa."
"Kadospundi panampinipun para wicaksana manawi kacêcamah tuwin kapandukan pangerang-erang, pitakènipun Prabu Yudhisthira, para wicaksana kêdah botên maèlu dhatêng wicantêning tiyang ingkang anyênyamah. Punika kaanggêpa kasaenan, kadi kawontênaning têtiba,  ingkang nyumêrêpakên dhatêng têtêmbungan ingkang kirang prayogi. Para wicaksana  kêdah kawawa mirêngakên ungêlipun tiyang ingkang taksih rupak budinipun, kadospundi pandamêlipun tiyang ingkang taksih asor manawi kaalêmbana tuwin cinacad, tiyang wau kados gagak ingkang nyuwantên ing wana, babar pisan botên migunani.  Kathah tiyang ingkang gêsangipun dipun sêsêdhih piyambak, dening wicantên saha pamikiripun tiyang sanès, ngangkaha tumindak kang jêjêg, sampun pados pangalêmbana tuwin panacad, ananging sangking anggènipun nyumêrêpi dhatêng kêkalihipun wau, ingkang nyumêrêpakên kadospundi prayogining lampahipun. Gêsangipun tiyang kêdah tata, sampun ngantos kasangêtên montang-mantingipun. Tiyang sami pados sae, kasugihan, tuwin kabingahan, kasugihan punika witipun saking kasaenan, măngka kabingahan punika wohing kasugihan. Nalikanipun tiyang angangkah kasugihan kêdah botên supe dhatêng kasaenan, ugi sampun ngantos pados kasênêngan ingkang waragatipun kasaenan tuwin kasugihan. Dosanipun tiyang ingkang lampah sae punika manawi ngangkah epahan, dosaning kasugihan manawi amung dipun simpêni. Manawi dosa kalih warni wau sampun sinukscèn, punika ingkang prayogi. ;","Wicaksana ora bisa dipadhangaké nalika dipengaruhi prahara, mbutuhake pangerten lan adil."
"Prayogi sangêt Sang Bisma anggènipun anêrangkên prakawis  katêmênan: katêmênan iku kawajiban langgêng, wong kudu angajèni marang katêmênan, marga katêmênan iku pangayomaning wong, katêmênan iku kawajiban, katêmênan iku sêsaji, katêmênan iku lênggahing yogi, katêmênan iku kaananing brahmana. Ana ing piwulang katêmênan iku laku kaananing sêsaji kang luhur dhewe, kabèh iku atêtalês katêmênan, sarupaning kawujudan kang winangun dening katêmênan, iku adil, mangrèh pribadine, ngêgungake paramarta, jêjêg, anênuntun bêcik, sèlèh, mêlêng, aji, kakuatan, wêlasan, sarta ora agawe piala. Panjênênganipun guru wau andhawuhakên, inggih sadaya wau wujuding katêmênan, sarta anêmtokakên: ora ana kawajiban kang gêdhene angungkuli katêmênan, kosokbaline, ora ana piala kang ngungkuli goroh. Wus têtela katêmênan iku têtalêsing bênêr. Yèn katêmênan katimbang lan sêsaji jaran sèwu, iku isih gêdhe nugrahane katêmênan. ;","Katêmênen minangka kewajiban langgêng, ngluhuraken kabecikan."
"Sabên lare Hindhu wajib sumêrêp dhatêng punika, sarta gêsangipun kaangkah sagêdipun kalampahan kados makatên wau. Watak goroh punika adamêl asoripun sadaya watak, botên têmên punika adamêl asoring lare, anjalari lare wau têlas ajinipun, tuwin karèmèhakên. Lare Hindhu ingkang purun dora punika sanès Hindhu sajati, utawi sanès băngsa Arya sajati.;",Lare Hindhu kedah nglaksanani kewajiban kanthi becik kanggo nggugah kamulyan.
"Manungsa ing dunya punika agêng kasangsaranipun, dene witing kasangsaran wau sangking kabodhoanipun. Tiyang wau kêpengin dhatêng barang kalairan, măngka witing kabêgjan punika gêsang amanah dhatêng kabatosan. Sumêrêpipun dhatêng pribadi kang mulya, ingkang dados kêkandhanganing katêntrêman, inggih wontên ing pribadi kang luhur piyambak wau, sarta kèndêling sadaya pêpenginanipun dhatêng kadunyan. ;","Manungsa kasangsaranan saka kabodhoan, nanging bisa nggayuh sukses kanthi becik lan amanah."
"Kamlaratan, ingkang sangêt dipun ajrihi dening manungsa, puni amung kawontênan manawi tiningalan saking margi kita, sarta kita sampun mardika sayêktos sangking witing sănggarunggi tuwin pakèwêd. Manawi tiyang sampun têntrêm ing dalêm kang pribadi, sampun botên kêpengin dhatêng samukawis kajawi malarat yêktos wontênipun ing dunya ngriki, sujanma wau tamtu manggih kamulyan. Gêsang ingkang makatên wau lêrês sangêt, inggih punika witipun nugraha, inggih ingkang mardika sangking saliring bêbaya. Margi ingkang sêpi mêngsah punika botên kenging kainggahan dening sintêna ingkang taksih darbe pêpenginan, nanging gampil dipun inggahi dening sintêna  ingkang sampun sêpi pêpenginan. Manawi kula aningali kawontênaning tri bawana, kados botên wontên tiyang ingkang sami kalihan tiyang malarat nanging suksci gêsangipun, sarta botên sêngsêm dhatêng kadunyan. Sangking pamanah kula, malarat kalihan mangwasani punika pilih wawratipun, malarat langkung aji tinimbang mangwasani, sarta angwontênakên kaluhuran. ;",Kamlaratan ora masalah menawa ora kaganggu penginginan.
"Nanging kadospundi sagêdipun tiyang karaos, manawi sampun sagêd pisah pêpenginanipun. Prakawis punika ugi sampun kacariyos ing sêrat kêkidungan, ingkang kinidungakên dening Manki, nalika piyambakipun sampun luwar sangking anggènipun dados boyonganing pêpenginan. Manki kaèbêkan raos kêpengin, dangu anggènipun ngangkah sagêdipun angsal kasugihan, ananging tansah kacidran. Kakantunaning raja darbèkipun lajêng katumbasakên pêdhèt kêkalih, badhe dipun ajari kangge mluku. Ananging sangking lampahing takdiripun, pêdhèt ajrih dhatêng kuldi ingkang langkung sacêlakipun ngriku, mila lumajêng dados kasingsêtan dening dhadhung ingkang kangge anggandhèng pêdhèt kêkalih wau, wêkasan pêjah. Kasangsaran ingkang wêkasan punika ambuka manahipun Manki, pêpenginanipun sirna, manahipun pajar lajêng angidung: sing sapa ngangkah kabêgjan, kudu ambirat pêpenginan,  bênêr kaya wêwarahe suka, antarane wong loro kang siji katurutan kabèh pêngarêp-arêpe, sijine nêdya nglilahake sagung pangarêp-arêpe, iya kang nêdya anglilahake iku kang luwih luhur tinimbang kang katurutan, amarga pêpenginaning wong iku ora ana wêkasane. Dhuh jiwaku, wus suwe kaboyong dening pêpenginan, samêngko ngangkaha kamulyaning kamardikan lan katêntrêman. Wis suwe goningsun turu, aku bakal tangi, hèh pêpenginan, sira ora lêstari bisa anyidrani ing aku, êndi kang sira karêpake, sira mêksa supaya aku mituruti, anggung anggagas apa-apa, tanpa lèrèn, sanadyan gampang, apa angèl, karêpe mung kudu olèh, sira tanpa budi, sira iku sasar, tanpa uwis, sira panas kaya gêni, tansah miluta bisane tinurut. Sira ora kêna kinêbakan, kayadene awang-awang, karêpira kang tanpa uwis iku gawe kasangsaranku. Wiwit dina iki sira dak uwalake, hèh pêpenginan, samêngko aku ora gêlêm tatunggalan lan sira. Ingsun wus ora maèlu manèh marang sira, sarta marang pangipukira.;  ",Wong sing pisah saka penginginan nggayuh kamulyan sejati.
" Sira sun tundhung bêbarêngan lan kamurkaningsun ingsun kang ing muni manggung karusakan lan tansah kacuwan, samêngko wus olèh pamarêm sajati, batin ingsun wus marêm, indriyaningsun wus lêrêm, samêngko ingsun narima sapêpasthèningsun, sarta ora gêlêm anambut karya kang nêdya amituruti pangajapira. Lah sira mungsuh ingsun kang sajati, sira lan sakadadèhanira ingsun pisahake. Ingsun wus bisa unggul, sarana pêdhanging katêntrêman lan mangrèh pribadiningsun, angêgungake apura, wêlas asih kamardikan. Manki wus kapisah lan iku, sarta mênang lan kabèh, rêringkêsanipun. ;",Pêpenginan bisa sirna kanthi kawicaksanan.
